package,source,priority,purpose
BiocManager,cran,primary,Bioconductor package installer
mia,bioc,primary,MetaPhlAn import transformations alpha diversity prevalence filtering
TreeSummarizedExperiment,bioc,primary,TreeSummarizedExperiment object support
SingleCellExperiment,bioc,primary,altExp accessors
SummarizedExperiment,bioc,primary,functional profile alt experiments and assay containers
miaViz,bioc,primary,microbiome plotting helpers
scater,bioc,primary,ordination and reduced-dimension plotting
vegan,cran,primary,PERMANOVA and ecology utilities
lmerTest,cran,primary,repeated-measures mixed models
emmeans,cran,primary,post-hoc estimated marginal means and contrasts
sjPlot,cran,primary,mixed-model report tables and plots
maaslin3,bioc,primary,model-based microbiome differential abundance
patchwork,cran,primary,plot composition
DT,cran,primary,interactive report tables
readxl,cran,secondary,spreadsheet metadata import when needed
phyloseq,bioc,optional,optional phyloseq input and ANCOM-BC sensitivity support
ANCOMBC,bioc,optional,optional ANCOM-BC sensitivity method
ALDEx2,bioc,optional,optional ALDEx2 sensitivity method
DESeq2,bioc,optional,optional count-scale sensitivity method with caveats
